"Yazar", "Alıntı"
"Vincent Lombardi", "Ruh, kazanma isteği ve üstün olma arzusu kalıcı olan şeylerdir. Bu nitelikler, meydana gelen olaylardan çok daha önemlidir."
"Jean-Paul Sartre", "İnsan sahip olduklarının toplamı değil, henüz sahip olmadıklarının, sahip olabileceklerinin toplamıdır."
"Richard Bach", "Gözlerinizin size söylediklerine inanmayın. Onların gösterdiği tek şey sınırlılıktır. Anlayışınızla bakın, zaten bildiğiniz şeyi bulun ve uçmanın yolunu göreceksiniz."
"Elisabeth Kubler-Ross", "Seçimlerimizden yalnızca kendimizin sorumlu olduğuna ve yaşamımız boyunca her eylemimizin, sözümüzün ve düşüncemizin sonuçlarını kabul etmemiz gerektiğine inanıyorum."
"Byron Pulsifer", "Dileklerinizi eyleme dönüştürdüğünüzde, dilekleriniz istediğinizi elde etmeniz için en iyi yol olabilir. Eylem, dileğinizi düşünceden gerçeğe taşıyarak ön plana çıkarır."
"Kahlil Gibran", "Bir insanın kalbini ve zihnini anlamak için, halihazırda neyi başardığına değil, neyi yapmayı arzuladığına bakın."
"Bernard Shaw", "Hayatımın topluma ait olduğu ve yaşadığım sürece onun için elimden geleni yapmanın benim için bir ayrıcalık olduğu kanısındayım."
"Albert Einstein", "Hayal gücü bilgiden daha önemlidir. Çünkü bilgi şu anda bildiğimiz ve anladığımız her şeyi tanımlarken, hayal gücü henüz keşfedebileceğimiz ve yaratabileceğimiz her şeye işaret eder."
"Konfüçyüs", "İyi bir insan gördüğünüzde, onun gibi olmayı düşünün. O kadar iyi olmayan birini gördüğünüzde, kendi zayıf noktalarınızı düşünün."
"Anne Lindbergh", "Eğer kişi kendine yabancılaşmışsa, başkalarına da yabancılaşmış demektir. Eğer kişinin kendisiyle teması yoksa, başkalarına da dokunamaz."
"Dale Carnegie", "Dünyadaki önemli şeylerin çoğu, hiç umut yokmuş gibi görünürken denemeye devam eden insanlar tarafından başarılmıştır."
"John Lennon", "Benim bir hayalperest olduğumu söyleyebilirsiniz, ama tek hayalperest ben değilim, umarım bir gün siz de bize katılırsınız ve dünya bir bütün olarak yaşar."
"Nathaniel Hawthorne", "Mutluluk bir kelebek gibidir, peşine düşüldüğünde her zaman kavrayışımızın ötesindedir, ama eğer sessizce oturursanız, üzerinize konabilir."
"Buddha", "Yaşamın birliğini deneyimleyen kişi, tüm varlıklarda kendi Benliğini ve kendi Benliğinde tüm varlıkları görür ve her şeye tarafsız bir gözle bakar."
"Buddha", "Gökyüzünde doğu ve batı diye bir ayrım yoktur; insanlar kendi zihinlerinden ayrımlar yaratır ve sonra bunların doğru olduğuna inanırlar."
"Caroline Myss", "Yalnızca niyet ederek hayatınızda hiçbir şeyi değiştiremezsiniz, bu niyet sulandırılmış, ara sıra yarına ulaşacağınıza dair bir umuda dönüşebilir. Eylem olmadan niyet işe yaramaz."
"Winston Churchill", "Duygularınızla ilham verebilmeniz için önce kendiniz duygulara boğulmalısınız. Onların gözyaşlarını harekete geçirmeden önce, kendi gözyaşlarınız akmalıdır. Onları ikna etmek için, kendiniz inanmalısınız."
"William James", "Bizim neslimizin en büyük keşfi, insanların zihinsel tutumlarını değiştirerek hayatlarını değiştirebilecekleridir. Nasıl düşünürseniz, öyle olursunuz."
"Henry David Thoreau", "Eğer kişi hayal ettiği yönde emin adımlarla ilerler ve hayal ettiği hayatı yaşamaya çalışırsa, sıradan saatlerde beklenmedik bir başarıyla karşılaşacaktır."
"Pearl Buck", "Çalışmaktan keyif almanın sırrı tek bir kelimede gizlidir, mükemmellik. Bir şeyi nasıl iyi yapacağını bilmek, ondan zevk almaktır."
"Konfüçyüs", "Kendinizden daha iyi biriyle karşılaştığınızda, düşüncelerinizi onun dengi olmaya yöneltin. Sizin kadar iyi olmayan biriyle karşılaştığınızda, içinize bakın ve kendi benliğinizi inceleyin."
"Uta Hagen", "Düzenli olmamız gerektiği fikrinin üstesinden gelmeliyiz. Bu sizi sıra dışı olma şansından mahrum bırakır ve vasata götürür."
"Orison Marden", "Önümüze çıkan engeller karşısında sinmek yerine, onların üzerinden cesaretle yürümeye karar verirsek, engellerimizin çoğu eriyip gidecektir."
"Victor Frankl", "Bir insandan her şey alınabilir ama... insan özgürlüklerinin sonuncusu, herhangi bir koşulda tutumunu seçmek, kendi yolunu seçmek."
"Edward de Bono", "Bazılarının yanlış olması için yeterince fikre sahip olmak, hiçbir fikre sahip olmayarak her zaman haklı olmaktan daha iyidir."
"Abraham Lincoln", "Karakter bir ağaca, itibar ise bir gölgeye benzer. Gölge bizim onun hakkında ne düşündüğümüzdür; ağaç ise gerçek olandır."
"Lao Tzu", "İşi oluruna bırakırsan her şey hallolur. Dünya, onu bırakanlar tarafından kazanılır. Ama denediğinde ve denediğinde. Dünya kazanmanın ötesindedir."
"Amy Tan", "Sonunda göklerde sonsuza dek parlayacağımız güzel bir takımyıldızında bir başkasının yanında yerini bulan kayan bir yıldız gibiyim."
"Epictetus", "Her zor ve tehlikeli şey eğitim için uygun değildir, sadece çabamızın amacına ulaşmada başarıya yardımcı olan şey uygundur."
"Stephen Covey", "Bizler hayvan değiliz. Geçmişimizde başımıza gelenlerin bir ürünü değiliz. Seçim yapma gücüne sahibiz."
"Paul Graham", "Zaman kaybetmenin en tehlikeli yolu onu eğlenerek geçirmek değil, sahte işler yaparak geçirmektir. Eğlenerek zaman geçirdiğinizde, kendinize düşkün olduğunuzu bilirsiniz."
"Buddha", "Tek bir mumdan binlerce mum yakılabilir ve mumun ömrü kısalmaz. Mutluluk paylaşıldıkça asla azalmaz."
"Chuck Norris", "İnsanlar çoğu zaman yapamayacaklarını düşündükleri şeylerin olumsuz tarafına bakarlar. Ben her zaman yapabileceklerimin olumlu tarafına bakarım."
"Amiel", "Tutku olmadan insan sadece gizli bir güç ve olasılıktır, tıpkı kıvılcım çıkarmadan önce demirin şokunu bekleyen çakmaktaşı gibi."
"Amy Bloom", "İlk görüşte aşkı anlamak kolaydır; ancak iki insan bir ömür boyu birbirlerine baktıklarında bir mucize haline gelir."
"Keshavan Nair", "Cesaretle risk almaya cesaret eder, şefkatli olma gücüne ve alçakgönüllü olma bilgeliğine sahip olursunuz. Cesaret, dürüstlüğün temelidir."
"Margaret Smith", "Doğru yol her zaman popüler ve kolay yol değildir. Popüler olmadığında doğruyu savunmak, ahlaki karakterin gerçek bir testidir."
"Frederick Douglass", "Başkalarının alaylarına maruz kalma pahasına da olsa kendime karşı dürüst olmayı, yanlış davranıp kendi nefretimi kazanmaya tercih ederim."
"Helen Keller", "Hiçbir kötümser yıldızların sırlarını keşfetmemiş, keşfedilmemiş topraklara yelken açmamış ya da insan ruhuna yeni bir cennet açmamıştır."
"Marcus Aurelius", "Sabah uyandığınızda, hayatta olmanın, nefes almanın, düşünmenin, eğlenmenin ve sevmenin ne kadar değerli bir ayrıcalık olduğunu düşünün."
"Helen Keller", "Karakter rahatlık ve sessizlik içinde geliştirilemez. Sadece deneme ve acı çekme deneyimi ile ruh güçlenebilir, vizyon netleşebilir, hırs ilham verebilir ve başarı elde edilebilir."
"Oprah Winfrey", "Hayatınızda trajedi olsa da, her zaman zafer kazanma olasılığı vardır. Kim olduğunuz, nereden geldiğiniz önemli değildir. Zafer kazanma yeteneği sizinle başlar. Her zaman."
"Ingrid Bergman", "Sezgilerinizi eğitmelisiniz, size tam olarak ne söyleyeceğinizi, neye karar vereceğinizi söyleyen içinizdeki o küçük sese güvenmelisiniz."
"Marcus Aurelius", "Kaderin sizi bağladığı şeyleri kabul edin ve kaderin sizi bir araya getirdiği insanları sevin, ama bunu tüm kalbinizle yapın."
"John Kennedy", "Tarihimizin kurbanı değil efendisi olmaya karar verelim, kör şüphelere ve duygulara kapılmadan kendi kaderimizi kontrol edelim."
"Marie Curie", "Hayatta korkulacak hiçbir şey yoktur, sadece anlaşılması gerekir. Şimdi daha fazla anlamanın zamanıdır, böylece daha az korkabiliriz."
"Anne Frank", "Ebeveynler yalnızca iyi öğütler verebilir ya da onları doğru yollara sokabilir, ancak bir kişinin karakterinin nihai şekillenmesi kendi ellerindedir."
"Byron Pulsifer", "Zorluklar başarısız olmanız için karşınıza çıkarılmaz; zorluklar karakterinizi geliştirmenin bir yoludur, böylece azimle tekrar tekrar başarılı olabilirsiniz."
"Robert Fulghum", "Boynunuzu kırarsanız, yiyecek bir şeyiniz yoksa, eviniz yanıyorsa, o zaman bir sorununuz var demektir. Geri kalan her şey zahmettir."
"Albert Schweitzer", "Başarı mutluluğun anahtarı değildir. Mutluluk başarının anahtarıdır. Eğer yaptığınız işi seviyorsanız, başarılı olursunuz."
"Albert Einstein", "Eğer A hayattaki başarı ise, o zaman A eşittir x artı y artı z. İş x'tir; y oyundur; ve z ağzını kapalı tutmaktır."
"Thornton Wilder", "Size tavsiyem neden ya da niçin diye sorgulamayın, sadece tabağınızdayken dondurmanızın tadını çıkarın, benim felsefem bu."
"John Dewey", "Çatışma düşüncenin at sineğidir. Bizi gözlem ve hafızaya sevk eder. İcat etmeye teşvik eder. Bizi koyun gibi pasiflikten çıkarır ve bizi not etmeye ve tasarlamaya iter."
"Lao Tzu", "Başkalarını fetheden güçlüdür; kendini fetheden kudretlidir."
"Wayne Dyer", "Gerçekten istediğiniz her şeyi elde edebilirsiniz, eğer gerçekten peşinden giderseniz."
"John Dewey", "Bir noktaya varmak, başka bir noktanın başlangıç noktasıdır."
"James Oppenheim", "Aptal adam mutluluğu uzaklarda arar, bilge ise onu ayaklarının altında büyütür."
"Martha Washington", "Mutluluğumuzun en büyük kısmı koşullarımıza değil, eğilimlerimize bağlıdır."
"Margaret Bonnano", "Sonsuza dek mutlu yaşamak ancak günden güne mümkündür."
"Goethe", "İnsan kalbinde ne taşıyorsa dünyada da onu görür."
"Benjamin Disraeli", "Eylem her zaman mutluluk getirmeyebilir, ama eylemsiz mutluluk yoktur."
"Joe Paterno", "Kaderinizde büyük şeyler yapmak olduğuna kalbinizin derinliklerinde inanın."
"Richard Bach", "Er ya da geç kazananlar, yapabileceklerini düşünenlerdir."
"Tony Robbins", "Etkinizin tek sınırı hayal gücünüz ve bağlılığınızdır."
"Cathy Pulsifer", "Siz özelsiniz, siz eşsizsiniz, siz en iyisisiniz!"
"William Arthur Ward", "Başarıya giden dört adım: Amaca yönelik plan yapın. Dua ederek hazırlanın. Olumlu bir şekilde ilerleyin. Israrla takip et."
"Bruce Lee", "Kendini tanımak, kendini başka bir insanla eylem halinde incelemektir."
"Piskopos Desmond Tutu", "Karşı çıktığımız sisteme benzememize izin vermemeliyiz."
"Thich Nhat Hanh", "Gülümseyin, nefes alın ve yavaşça ilerleyin."
"Albert Einstein", "Gerçeklik sadece bir yanılsamadır, her ne kadar çok ısrarcı olsa da."
"Franklin Roosevelt", "İpinizin sonuna geldiğinizde, bir düğüm atın ve asılı kalın."
"Buddha", "Her zaman başkalarının hatalarına değil, iyiliklerine dikkat edin."
"Carl Jung", "Başkaları hakkında bizi rahatsız eden her şey, kendimizi anlamamıza yol açabilir."
"Dale Carnegie", "Kader bize bir limon verdiğinde, limonata yapmaya çalışalım."
"Mohandas Gandhi", "Zayıflar asla affedemez. Affetmek güçlülerin özelliğidir."
"Chanakya", "Bir insan doğuştan değil, eylemleriyle büyüktür."
"Dale Carnegie", "Başarı istediğinizi elde etmektir. Mutluluk ise elde ettiğin şeyi istemektir."
"", "Geleceğinizi emin ellere bırakın, kendi ellerinize."
"Byron Pulsifer", "Gerçek, gerçekte ne olduğuyla değil, daha çok olanların nasıl yorumlandığıyla ilgilidir."
"", "İyi bir dinlenme işin yarısıdır."
"Robert Stevenson", "Her günü biçtiğiniz hasada göre değil, ektiğiniz tohumlara göre değerlendirin."
"Demosthenes", "Küçük fırsatlar genellikle büyük girişimlerin başlangıcıdır."
"Gail Sheehy", "Sınanmak iyidir. Zorlu yaşam en iyi terapist olabilir."
"İngiliz Atasözü", "Dikkatli ol: Aramadığın şeyi bulamazsın."
"Richard Bach", "Mutluluk, bildiğimiz en doğru şekilde yaşadığımız için aldığımız ödüldür."
"Cervantes", "Dilin yavaş, gözün hızlı olsun."
"Mohandas Gandhi", "Özgürlük, hata yapma özgürlüğünü içermiyorsa sahip olmaya değmez."
"John Locke", "İnsanların eylemlerinin her zaman düşüncelerinin en iyi tercümanları olduğunu düşünmüşümdür."
"Soren Kierkegaard", "Cesaret etmek, bir an için ayağını kaybetmektir. Cesaret edememek ise kendini kaybetmektir."
"David Eddings", "Bir şey öğrendiğiniz hiçbir gün tam bir kayıp değildir."
"Albert Einstein", "Barış güç kullanılarak korunamaz. Sadece anlayışla elde edilebilir."
"David McCullough", "Gerçek başarı, sevdiğiniz işte yaşam ödevinizi bulmaktır."
"Buddha", "Binlerce boş sözden daha iyi olan, huzur getiren tek bir sözdür."
"", "Tüm yarınların çiçekleri bugünün tohumlarındadır."
"Joseph Campbell", "Kutsal alanınız, kendinizi tekrar tekrar bulabileceğiniz yerdir."
"Bruce Lee", "Nasıl düşünürsen, öyle olursun."
"William Blake", "Tohum zamanında öğren, hasatta öğret, kışın tadını çıkar."
"Cheng Yen", "Mutluluk çok şeye sahip olmaktan değil, az şeye bağlı olmaktan gelir."
"Richard Bach", "Bir arkadaştan gelen her hediye, mutluluğunuz için bir dilektir."
"Ralph Emerson", "Git inancını eyleme dök. Çift dille konuşmayın."
"Euripides", "En bilge adamlar kendi yönlerini takip ederler."
"William Sloane Coffin", "Umut, başka hiçbir şeyin uyandıramadığı gibi, mümkün olana karşı bir tutku uyandırır."
"Konfüçyüs", "Her şeyin bir güzelliği vardır, ama herkes onu göremez."
"Pema Chodron", "Bilmemiz gerekeni bize öğretene kadar hiçbir şey geçip gitmez."
"Maya Angelou", "Öğrendiğin zaman, öğret. Aldığın zaman, ver."
"Dorothy Thompson", "Sadece artık korkmadığımız zaman yaşamaya başlarız."
"Andy Rooney", "Etrafta kimse yokken gülümsüyorsanız, gerçekten ciddisiniz demektir."
"Martin Luther King, Jr.", "Sevgi, bir düşmanı dosta dönüştürebilecek tek güçtür."
"Carl Jung", "Her kaosun içinde bir kozmos, her düzensizliğin içinde gizli bir düzen vardır."
"", "İnsan yaşadığı yerde değil, sevdiği yerdedir.""
"Winston Churchill", "Büyüklüğün bedeli sorumluluktur."
"Paul Tillich", "Karar, özgür olmanın cesaretine dayanan bir risktir."
"William Burroughs", "Rahatlamayı ve cevabı beklemeyi öğrenirseniz, zihniniz çoğu soruya cevap verecektir."
"", "Dünya sizin başınıza gelmez, sizden gelir."
"Albert Einstein", "Sorunlarımızı, onları yaratırken kullandığımız düşünceyle çözemeyiz."
"", "Kazanma isteğinden daha güçlü olan şey, başlama cesaretidir."
"Richard Bach", "Öğrenmek, zaten ne bildiğinizi bulmaktır."
"Alfred Painter", "Teşekkür etmek iyi bir davranıştan daha fazlasıdır. İyi bir maneviyattır."
"Lao Tzu", "Sessizlik büyük bir güç kaynağıdır."
"Anne Lamott", "Neşe en iyi makyajdır."
"Seneca", "Biraz delilik olmadan büyük deha olmaz."
"Buddha", "Bir testi damla damla dolar."
"Doris Mortman", "Kim olduğunuzla barışana kadar, sahip olduklarınızdan asla memnun olmayacaksınız."
"Ralph Emerson", "Hedefi vurmak için hedefin üstüne nişan alırız."
"Catherine Pulsifer", "Kızgın olmak hiçbir şeyi çözmez."
"Orison Marden", "Büyük işler başarmış tüm insanlar büyük hayalperestlerdir."
"Arthur Conan Doyle", "Sıradanlık kendinden daha yüksek bir şey tanımaz, ama yetenek dehayı anında tanır."
"Walter Lippmann", "Herkesin aynı düşündüğü yerde, kimse çok fazla düşünmez."
"Marcus Aurelius", "Var olan her şey bir bakıma olacak olanın tohumudur."
"Marie Curie", "İnsanlar hakkında daha az, fikirler hakkında daha çok meraklı olun."
"Charles Perkhurst", "Kalbin, beynin hiçbir şey bilmediği gözleri vardır."
"Robert Kennedy", "Sadece büyük başarısızlıklar yaşamaya cesaret edenler büyük başarılar elde edebilirler."
"Richard Whately", "Sabahları bir saat kaybederseniz, tüm gününüzü onu arayarak geçirirsiniz."
"Bruce Lee", "Hatalar her zaman affedilebilir, eğer kişi onları kabul edecek cesarete sahipse."
"William Shakespeare", "Koynuna git: Oraya vurun ve kalbinize ne bildiğini sorun."
"Dalai Lama", "Mutluluk, dış etkenlerden ziyade esas olarak kendi tutumumuzdan gelir."
"Lao Tzu", "Eğer yönünüzü değiştirmezseniz, gittiğiniz yere varabilirsiniz."
"", "Gördüğümüz şey esas olarak aradığımız şeydir."
"Marsha Petrie Sue", "Olmuş olabileceklerden uzak durun ve olacaklara bakın."
"William James", "Yaptıklarınız bir fark yaratıyormuş gibi davranın. Yaratır."
"Byron Pulsifer", "Tutku daha fazlası için arzu yaratır ve tutkuyla beslenen eylem bir gelecek yaratır."
"Alexander Pope", "İyiliği gizlice yap ve şöhret bulduğunda yüzün kızarsın."
"Napoleon Hill", "Fırsat genellikle talihsizlik ya da geçici yenilgi şeklinde gizlenmiş olarak gelir."
"Thomas Jefferson", "Ne yaptığınız ya da ne yapacağınız hakkında konuşmayın."
"Seneca", "En güçlü kişi, kendi gücüne sahip olandır."
"Bernard Shaw", "Yaşlandığımız için oynamayı bırakmayız; oynamayı bıraktığımız için yaşlanırız."
"Byron Pulsifer", "Deneyim sadece yaparak kazanılır, düşünerek ya da hayal ederek değil."
"Mark Twain", "Her zaman doğruyu söyleyin. Bu şekilde, ne söylediğinizi hatırlamak zorunda kalmazsınız."
"Lao Tzu", "Hayretten hayrete varoluş açılır."
"Napoleon Bonaparte", "Fethedilmekten korkan, yenilgiden emindir."
"John Lennon", "Hayat, siz başka planlar yaparken başınıza gelenlerdir."
"Wayne Dyer", "Sevdiğiniz şeyi yapmak, hayatınızda bolluk olmasının temel taşıdır."
"Johann Wolfgang von Goethe", "İyilik, toplumu birbirine bağlayan altın zincirdir."
"Nietzsche", "Dans eden bir yıldız doğurmak için ruhunuzda kaos olması gerekir."
"Byron Pulsifer", "Kalbiniz geçmişteki başarısızlıklarla doluysa bahar olamaz."
"Brendan Francis", "Kendini bugüne verenler için hiçbir dün asla boşa gitmez."
"Tom Krause", "Başarısızlık yoktur, sadece deneyimler ve onlara verdiğiniz tepkiler vardır."
"Pablo Picasso", "Eylem, tüm başarıların temel anahtarıdır."
"Abraham Maslow", "Bir insanı değiştirmek için gerekli olan şey, onun kendisi hakkındaki farkındalığını değiştirmektir."
"Zig Ziglar", "Olumlu düşünmek, her şeyi olumsuz düşünmekten daha iyi yapmanızı sağlayacaktır."
"Rahibe Teresa", "Basit bir gülümsemenin yapabileceği tüm iyilikleri asla bilemeyiz."
"Frances de Sales", "Hiçbir şey kibarlık kadar güçlü değildir. Hiçbir şey gerçek güç kadar nazik değildir."
"Ralph Waldo Emerson", "Hayal gücü bazı insanların yeteneği değil, her insanın sağlığıdır."
"Kenji Miyazawa", "Acıyı kucaklamalı ve onu yolculuğumuz için yakıt olarak yakmalıyız."
"", "İnsanların dostça davranmasını beklemeyin. Onlara nasıl olduğunu gösterin."
"Çin atasözü", "Bir mücevher sürtünme olmadan parlatılamaz, bir insan da denemeler olmadan mükemmelleşemez."
"George Matthew Adams", "İlginizi sürdürürseniz her gün bir zafer günü olabilir."
"Robert M. Pirsig", "Dünyayı iyileştirmenin yeri önce kişinin kendi kalbi, kafası ve elleridir."
"Winston Churchill", "Kötümser her fırsatta zorluk görür. İyimser ise her zorlukta bir fırsat görür."
"Albert Gray", "Kazananlar, kaybedenlerin yapmaktan hoşlanmadıkları şeyleri yapma alışkanlığı edinmişlerdir."
"Ralph Emerson", "Doğa her zaman ve asla aynı olmayan değişken bir buluttur."
"Büyükanne Moses", "Hayat, ondan ne yaptığınızdır. Her zaman öyleydi, her zaman öyle olacak."
"İsveç atasözü", "Endişe genellikle küçük bir şeye büyük bir gölge verir."
"Konfüçyüs", "Varlığınızın merkezinde, siz olan her şey olmanızı istiyorum."
"William Shakespeare", "Ne olduğumuzu biliriz, ama ne olabileceğimizi bilmeyiz."
"Jean-Paul Sartre", "Özgürlük, size yapılanlarla ne yaptığınızdır."
"Felix Adler", "Bizi özgür kılan gerçek, sonunda bizi mutlu da edecektir."
"Joseph Joubert", "Öğrenmeden hayal gücü olanın kanatları vardır ama ayakları yoktur."
"Elizabeth Browning", "Kim severse, imkansıza inanır."
"Ella Fitzgerald", "Önemli olan nereden geldiğiniz değil, nereye gittiğinizdir."
"Pema Chodron", "Neşemizle bağlantı kurmamızın önündeki en büyük engel kızgınlıktır."
"C. Pulsifer", "Öfkelendiğinizde enerjinizi üretken bir şey yapmak için kullanın."
"Blaise Pascal", "Hepimiz bir şeyiz, ama hiçbirimiz her şey değiliz."
"Albert Einstein", "Eğer basitçe açıklayamıyorsanız, yeterince iyi anlamamışsınız demektir."
"Marcus Aurelius", "Kendisiyle uyum içinde yaşayan, dünyayla da uyum içinde yaşar."
"Lao Tzu", "Kendini bilen kişi aydınlanmıştır."
"Ralph Emerson", "Daha iyi bir fare kapanı yapın ve dünya kapınıza doğru bir yol açsın."
"Abraham Lincoln", "Durumumuz yeni olduğu için, yeniden düşünmeli ve hareket etmeliyiz."
"Rahibe Teresa", "Eğer yüz kişiyi doyuramıyorsan, bir kişiyi doyur."
"Robert Frost", "Hayat hakkında öğrendiğim her şeyi üç kelimeyle özetleyebilirim: Hayat devam ediyor."
"", "Bugünün hayal kırıklıklarının yarının hayallerine gölge düşürmesine izin vermeyin."
"Tony Robbins", "Her zaman bir sonuç üretmeyi başarırsınız."
"Wayne Dyer", "Karşı olduğunuz her şey sizi zayıflatır. Lehinde olduğunuz her şey sizi güçlendirir."
"Fran Watson", "Kendimizi riske attıkça büyürüz. Her yeni deneyim bir risktir."
"Mary Almanac", "Kim olduğumuz asla değişmez. Kim olduğumuzu düşündüğümüz değişir."
"Elbert Hubbard", "Büyüklüğün son kanıtı, kızgınlık duymadan eleştiriye katlanabilmektir."
"Victor Hugo", "Orduların istilasına direnilebilir ama zamanı gelmiş bir fikre direnilemez."
"", "Parasızlığın eğlenmenize engel olmasına asla izin vermeyin."
"Ralph Marston", "Mükemmellik bir beceri değildir. Bir tutumdur."
"Lewis Cass", "İnsanlar söylediklerinizden şüphe edebilirler, ama yaptıklarınıza inanacaklardır."
"Thomas Paine", "Her türlü hataya karşı en zorlu silah akıldır."
"Danilo Dolci", "Kelimelerin dağları yerinden oynatmadığını bilmek önemlidir. Çalışmak, titiz bir çalışma dağları yerinden oynatır."
"Franz Liszt", "Fırsatları kaçırmaktan sakının; yoksa bir gün çok geç olabilir."
"Buddha", "Sadece tutunduğun şeyi kaybedersin."
"Corita Kent", "Hayat anların art arda gelmesidir. Her birini yaşamak başarılı olmaktır."
"Ralph Waldo Emerson", "Hayatın gölgelerinin çoğu, kendi güneş ışığımızın içinde durmaktan kaynaklanır."
"Platon", "İyi eylemler kendimize güç verir ve başkalarında iyi eylemlere ilham kaynağı olur."
"Antoine de Saint-Exupery", "Bildiğim tek bir özgürlük var, o da aklın özgürlüğü."
"Albert Einstein", "Her zorluğun ortasında bir fırsat yatar."
"Buddha", "Her insan kendi sağlığının ya da hastalığının yazarıdır."
"Mark Twain", "Şüpheye düştüğünüzde, doğruyu söyleyin."
"John Dewey", "Bilimdeki her büyük ilerleme, hayal gücünün yeni bir cüretinden doğmuştur."
"Napoleon Hill", "Başarı merdiveninin tepesi asla kalabalık değildir."
"", "Sağlığı olanın umudu, umudu olanın da her şeyi vardır."
"Maya Angelou", "Tüm büyük başarılar zaman gerektirir."
"Alice Walker", "Sessizliğinizi talep eden ya da büyüme hakkınızı reddeden hiç kimse dostunuz değildir."
"Charles Chesnutt", "İmkansızlıklar sadece henüz öğrenmediğimiz şeylerdir."
"Japon atasözü", "Eylemsiz vizyon bir hayaldir. Vizyonsuz eylem ise kabustur."
"Konfüçyüs", "Üstün insan doğruluğun, aşağı insan ise avantajın farkındadır."
"Elizabeth Kenny", "Seni kızdıran seni fetheder."
"Winston Churchill", "Ben asla eylem için endişelenmem, sadece eylemsizlik için endişelenirim."
"Epictetus", "Kendinin efendisi olmayan hiç kimse özgür değildir."
"Aristo", "Bilenler yapar. Anlayanlar öğretir."
"Thich Nhat Hanh", "Eğer tamamen kendimiz değilsek, gerçekten şimdiki anda değilsek, her şeyi kaçırırız."
"Ezop", "Ne kadar küçük olursa olsun, hiçbir iyilik asla boşa gitmez."
"Channing", "Eğer onu okumayı bilirseniz, her insan bir cilttir."
"", "Hayatın zorlukları bizi daha iyi yapmak içindir, acı çekmek için değil."
"Henry Ford", "Kalite, kimse bakmadığı zaman doğru yapmak demektir."
"", "Sözlerinizi değiştirin. Dünyanı değiştir."
"Lao Tzu", "Büyük eylemler küçük eylemlerden oluşur."
"Mal Pancoast", "Hedefinize nişan aldığınızda onu vurma olasılığınız önemli ölçüde artar."
"", "Açık zihinler açık kapılara yol açar."
"Virgil", "Her şeyi yapabilirler çünkü yapabileceklerini düşünürler."
"Donald Trump", "Zaten düşünmek zorundasınız, o zaman neden büyük düşünmeyesiniz?"
"Edward Young", "Her dikenin üzerinde hoş bir bilgelik büyür, Her derenin içinde tatlı bir talimat akar."
"Buddha", "Bedeniniz değerlidir. O bizim uyanış aracımızdır. Ona özenle davranın."
"Claire Charmont", "Her zaman kaybeden kişi, ödülü alan tek kişidir."
"Pema Chodron", "Gelecek tamamen açık ve biz onu an be an yazıyoruz."
"", "Bir korkuyla her yüzleştiğimizde, bunu yaparken güç, cesaret ve güven kazanırız."
"Richard Bach", "Kendinize başarınızın sırrını sorun. Cevabınızı dinleyin ve onu uygulayın."
"Sinvyest Tan", "Kaşlarınızı çatmayın çünkü gülüşünüze kimin aşık olduğunu asla bilemezsiniz."
"Joyce Brothers", "Önsezilerinize güvenin. Genellikle bilinç düzeyinin hemen altında dosyalanmış gerçeklere dayanırlar."
"Ralph Emerson", "Kendi zihninizin bütünlüğü dışında hiçbir şey kutsal değildir."
"Anthony D'Angelo", "Sezgilerinizi dinleyin. O size bilmeniz gereken her şeyi söyleyecektir."
"Anais Nin", "Derinlemesine yaşanan kişisel hayat her zaman kendi ötesindeki gerçeklere doğru genişler."
"Eckhart Tolle", "Başınıza ne zaman olumsuz bir şey gelse, içinde gizlenmiş derin bir ders vardır."
"Goethe", "Bugün başlanmayan şey yarın asla bitirilemez."
"Gordon Hinckley", "Nezaketimiz, inandığımız şey için en ikna edici argüman olabilir."
"Buddha", "Kaos tüm bileşik şeylerin doğasında vardır. Gayretle devam edin."
"Abraham Lincoln", "Ayaklarınızı doğru yere bastığınızdan emin olun, sonra sağlam durun."
"Ralph Emerson", "Coşku olmadan büyük hiçbir şey başarılamaz."
"Richard Bach", "Seçtiğim anlam, hayatımı değiştirdi: Korkuyu yen, mucizeyi gör."
"Plutarch", "Dinlemeyi bilin, kötü konuşanlardan bile fayda görürsünüz."
"Edmond Rostand", "Bir insan bir şey aradığı sürece yaşlı değildir."
"Ymber Delecto", "Kaybettiğinizi sandığınız zaman, sizi de özler."
"Michael Vance", "Hayat aldığınız nefeslerle değil, nefes kesici anlarıyla ölçülür."
"Sofokles", "Çok bilgelik, genellikle az kelimeyle ifade edilir."
"Bruce Lee", "Eğer hayatı seviyorsanız, zamanı boşa harcamayın, çünkü zaman hayatın ta kendisidir."
"Samuel Taylor Coleridge", "Hayal gücü, tüm insan algısının canlı gücü ve başlıca etkenidir."
"Naomi Williams", "Aynı anda hem minnettar hem de depresif hissetmek imkansızdır."
"Frederick Wilcox", "İlerleme her zaman risk içerir. Hem ikinci kaleyi çalıp hem de ayağınızı birinci kalede tutamazsınız."
"Simone Weil", "Özgürlük, kelimeyi somut anlamıyla ele alırsak, seçme yeteneğinden oluşur."
"John Dryden", "İyi söylenmiş bir şey tüm dillerde zekice olacaktır."
